calibration distance,calibration LT-1,detector draining LT-1,detector draining height,detector filling LT-1,detector filling height,draining cal dis,draining cal cur,filling cal dis,filling cal cur,initial filling PT5,initial filling LT1,new cal coordi,new cal LT1
9.501315278,8.96468225,3.32008,3.30084,3.01768,3.03244,5.977811702,20.05398071,9.626097502,19.95716417,3.18639,3.21368,180,1.739
10.00276507,8.96468225,3.31822,3.30085,3.01954,3.03244,6.270231556,20.05583865,10.05776491,19.95703831,3.18382,3.21555,174,1.739
10.50421487,8.96468225,3.31822,3.30086,3.01768,3.03314,6.56265141,20.0543523,10.48943231,19.95829691,3.18639,3.21368,173,1.724
11.00566466,8.96468225,3.31822,3.30086,3.01954,3.03316,6.855071264,20.05583865,10.92109971,19.95703831,3.18639,3.21555,172,1.701
11.52610877,8.96468225,3.31822,3.30086,3.01954,3.03316,7.147491119,20.05546706,11.35276712,19.92469221,3.18126,3.21368,171,1.68
11.81482229,9.56202805,3.31822,3.30085,3.01954,3.03315,7.439910973,20.05472388,11.65214935,19.77657201,3.1787,3.21368,170,1.678
12.00856425,10.15937385,3.32008,3.30086,3.01768,3.03317,7.732330827,20.05583865,11.79835928,19.49226418,3.1787,3.21368,169,1.666
12.3542607,11.05539255,3.32008,3.30086,3.01768,3.03315,8.024750681,20.0541665,11.93064445,19.23999957,3.1787,3.21555,168,1.657
12.87470481,11.65273835,3.31822,3.30085,3.01954,3.03316,8.317170535,20.05583865,12.06292962,18.98591419,3.18126,3.21368,167,1.649
13.3761546,11.95141125,3.31822,3.30084,3.01954,3.03316,8.60959039,20.05509547,12.18825241,18.74791236,3.1787,3.21368,166,1.634
13.8776044,12.3994206,3.31822,3.30085,3.01954,3.03316,8.902010244,20.05453809,12.38319898,18.46778453,3.18895,3.21368,165,1.627
14.3790542,12.84742995,3.31822,3.30085,3.01954,3.03388,9.194430098,20.05583865,12.72435548,18.25859966,3.18126,3.21368,164,1.616
14.88050399,13.14610285,3.32008,3.30086,3.02141,3.03388,9.486849952,20.0602977,13.13513575,18.02481791,3.18639,3.21368,163,1.606
15.38195379,13.5941122,3.31822,3.30085,3.01954,3.03388,9.779269806,20.05621023,13.5528784,17.80506086,3.1787,3.21555,162,1.598
15.88340358,14.04212155,3.31822,3.30086,3.01954,3.03389,10.07168966,20.05881135,13.9845458,17.62031592,3.18895,3.21555,161,1.588
16.38485338,14.4901309,3.31822,3.30086,3.01954,3.03387,10.36410951,20.05212277,14.41621321,17.42988928,3.18126,3.21368,160,1.576
16.88630317,14.93814025,3.31822,3.30085,3.01954,3.03388,10.65652937,20.04859269,14.8200311,17.1873891,3.18126,3.21555,159,1.566
17.38775297,15.3861496,3.31822,3.30085,3.02141,3.03387,10.94894922,20.04970745,15.13333809,16.9880427,3.18895,3.21555,158,1.558
17.88920276,15.83415895,3.32008,3.30084,3.01954,3.03388,11.24136908,20.03763086,,,3.18126,3.21555,156,1.537
18.39065256,16.2821683,3.31822,3.30085,3.01954,3.0346,11.53378893,20.03556058,,,3.19152,3.21368,154,1.528
18.89210235,16.73017765,3.32008,3.30085,3.01954,3.0346,11.79835928,19.90390305,,,3.1787,3.21555,153,1.503
19.39355215,17.02885055,3.31822,3.30086,3.01954,3.0346,12.06292962,19.74444827,,,3.18639,3.21555,152,1.496
19.89500194,17.62619635,3.31822,3.30085,3.02141,3.0346,12.32053759,19.61543771,,,3.18126,3.21368,150,1.476
20.39645174,17.92486925,3.31822,3.30085,3.01954,3.0346,12.51105355,19.44008427,,,3.18895,3.21368,,
20.89790153,18.3728786,3.32008,3.30086,3.01954,3.03461,12.74524261,19.28006998,,,3.17613,3.21368,,
21.39935133,18.82088795,3.31822,3.30085,3.01954,3.03461,13.00854707,19.27639151,,,3.18126,3.21555,,
21.90080112,19.2688973,3.31822,3.30085,3.02141,3.03461,13.10032386,19.05506044,,,3.1787,3.21368,,
22.40225092,19.5675702,3.32008,3.30086,3.02141,3.0346,13.15602288,18.88143616,,,3.18126,3.21555,,
22.90370071,20.01557955,3.31822,3.30085,3.01954,3.0346,13.2117219,18.70293478,,,3.18895,3.21555,,
23.40515051,20.4635889,3.31822,3.30086,3.01954,3.0346,13.26742092,18.51875825,,,3.18895,3.21368,,
23.9066003,20.7622618,3.31822,3.30086,3.02141,3.03532,13.32311994,18.33032535,,,3.18382,3.21368,,
24.4080501,21.21027115,3.32008,3.30085,3.02141,3.03533,13.47065604,18.04578218,,,3.18639,3.21368,,
24.9094999,21.6582805,3.31822,3.30086,3.01954,3.03532,13.74782497,17.83927972,,,3.18639,3.21555,,
